_source.data.url,_source.rule.firedtimes,_source.rule.level,label
/search?q='%',5,6,false positive
"/search?q=' UNION SELECT username, password FROM users--",12,15,real threat
/search?q=admin,5,5,false positive
/search?q='; SELECT * FROM admin--,2,14,real threat
/search?q=%27+AND+1%3D2--,1,16,real threat
/search?q=' OR 1=1;#,13,15,real threat
/search?q=%27+AND+1%3D2--,1,12,real threat
/search?q=' OR 'x'='x'#,5,14,real threat
/search?q=%27%3B+SELECT+%2A+FROM+admin--,15,11,real threat
/search?q=' AND '1'='2,9,15,real threat
/search?q='OR',3,8,false positive
/search?q=' OR 1=1#,1,14,real threat
/search?q=' OR '1'='1,10,6,real threat
/search?q='; SELECT CASE WHEN (1=1) THEN pg_sleep(5) END--,2,14,real threat
/search?q=' OR 'a'='a,7,10,real threat
/search?q='OR',5,5,false positive
/search?q=' OR 1=1 -- -,13,15,real threat
/search?q='; EXEC xp_cmdshell('dir')--,9,13,real threat
/search?q=' OR '1'='1,2,6,real threat
/search?q=' AND '1'='2,4,20,real threat
/search?q=' OR pg_sleep(5)--,13,20,real threat
/search?q=' OR pg_sleep(5)--,9,13,real threat
"/search?q=""test""",2,6,false positive
/search?q=1',1,6,false positive
/search?q=%27%3B+DROP+TABLE+users--,5,13,real threat
/search?q=' AND 1=(SELECT COUNT(*) FROM users)--,15,14,real threat
/search?q='',4,5,false positive
/search?q=' OR 'a'='a,15,11,real threat
/search?q=' OR 1=1--,13,15,real threat
/search?q='DROP',3,5,false positive
/search?q='DROP',4,8,false positive
/search?q=' OR '1'='1,4,13,real threat
/search?q='OR',3,6,false positive
/search?q=' UNION SELECT null--,7,6,real threat
/search?q=1',3,6,false positive
/search?q='%',3,6,false positive
/search?q=%27--,1,6,real threat
/search?q=1',3,6,false positive
/search?q='DROP',5,6,false positive
/search?q=',3,8,false positive
/search?q=' OR SLEEP(5)--,13,6,real threat
/search?q=%3Ctest%3E,4,8,false positive
/search?q=admin,2,7,false positive
/search?q=' OR 1=1; --,9,20,real threat
/search?q='abc',1,5,false positive
/search?q=1',3,8,false positive
/search?q=1',3,6,false positive
"/search?q=""test""",4,7,false positive
/search?q='; SELECT CASE WHEN (1=1) THEN pg_sleep(5) END--,10,10,real threat
/search?q='%',5,7,false positive
/search?q=' OR 1=1; --,7,20,real threat
/search?q=' AND 1=1--,4,10,real threat
/search?q=%27--,15,6,real threat
/search?q='DROP',3,6,false positive
/search?q=%27+OR+%271%27%3D%271,1,16,real threat
/search?q='DROP',5,5,false positive
/search?q=' OR 1=1;#,1,13,real threat
/search?q=',2,5,false positive
/search?q='OR',1,6,false positive
"/search?q=""test""",5,7,false positive
/search?q=' OR 1=1 LIMIT 1--,3,20,real threat
/search?q=' OR 1=1 LIMIT 1--,10,12,real threat
/search?q=',4,6,false positive
/search?q='=',4,5,false positive
/search?q='=',2,5,false positive
/search?q=%27%3B+SELECT+%2A+FROM+admin--,6,13,real threat
/search?q=%27+OR+%271%27%3D%271,15,11,real threat
/search?q=%27%3B+DROP+TABLE+users--,15,6,real threat
/search?q=admin,4,6,false positive
"/search?q=""test""",2,5,false positive
/search?q=%3Ctest%3E,2,5,false positive
/search?q=' OR 'x'='x'--,12,6,real threat
/search?q=' OR 1=1 LIMIT 1--,4,16,real threat
/search?q=' AND '1'='2,3,16,real threat
/search?q=',3,7,false positive
"/search?q=' UNION ALL SELECT 1,2,3,4--",15,12,real threat
"/search?q=' UNION SELECT username, password FROM users--",7,6,real threat
/search?q=admin,2,7,false positive
/search?q=%27--,9,14,real threat
/search?q=' OR 1=1/*,10,20,real threat
/search?q=' OR 1=1 LIMIT 1--,15,10,real threat
/search?q='; SELECT * FROM admin--,14,15,real threat
/search?q=' OR '1'='1,15,13,real threat
/search?q=',3,7,false positive
/search?q=%27--,12,10,real threat
/search?q=admin,4,7,false positive
/search?q=%27+AND+1%3D2--,3,15,real threat
/search?q=%3Ctest%3E,5,8,false positive
/search?q=%27%3B+SELECT+%2A+FROM+admin--,10,20,real threat
"/search?q=' UNION ALL SELECT 1,2,3,4--",9,15,real threat
/search?q=%3Ctest%3E,5,6,false positive
/search?q='abc',5,7,false positive
"/search?q=' AND SUBSTRING(@@version, 1, 1) = '5'--",10,15,real threat
/search?q='=',1,7,false positive
/search?q='; WAITFOR DELAY '0:0:5'--,13,12,real threat
/search?q='; EXEC xp_cmdshell('dir')--,11,14,real threat
/search?q=' OR 'x'='x'--,2,15,real threat
/search?q=',5,8,false positive
"/search?q=""test""",4,8,false positive
"/search?q=""test""",5,7,false positive
/search?q=' OR 1=1#,7,13,real threat
/search?q='abc',5,5,false positive
/search?q=%3Ctest%3E,1,5,false positive
/search?q=' OR pg_sleep(5)--,7,12,real threat
/search?q='DROP',3,8,false positive
"/search?q=' AND ASCII(SUBSTRING(@@version, 1, 1)) > 52--",14,11,real threat
/search?q=%27%3B+DROP+TABLE+users--,11,13,real threat
/search?q=' OR 1=1; --,6,14,real threat
/search?q=%27+UNION+SELECT+null--,3,6,real threat
/search?q=%27+UNION+SELECT+null--,6,13,real threat
/search?q=',2,8,false positive
/search?q=' OR EXISTS(SELECT * FROM users)--,5,16,real threat
/search?q=' OR EXISTS(SELECT * FROM users)--,13,16,real threat
/search?q='; WAITFOR DELAY '0:0:5'--,6,12,real threat
/search?q='%',2,8,false positive
/search?q=' OR (SELECT COUNT(*) FROM information_schema.tables)>0--,1,6,real threat
/search?q='; SELECT * FROM admin--,5,11,real threat
/search?q=%27--,9,11,real threat
/search?q=' OR pg_sleep(5)--,10,6,real threat
/search?q=' OR 1=1#,12,15,real threat
/search?q='; DROP TABLE users--,6,16,real threat
/search?q=%27+AND+ASCII%28SUBSTRING%28%40%40version%2C1%2C1%29%29%3E52--,10,10,real threat
/search?q='; WAITFOR DELAY '0:0:5'--,6,14,real threat
/search?q=%27+OR+1%3D1--,10,16,real threat
/search?q='; SELECT CASE WHEN (1=1) THEN pg_sleep(5) END--,3,20,real threat
/search?q='%',2,6,false positive
/search?q=' OR 'x'='x'#,8,16,real threat
/search?q='OR',4,6,false positive
/search?q=%27+UNION+SELECT+null--,9,13,real threat
/search?q=1',3,7,false positive
/search?q='DROP',3,5,false positive
/search?q='OR',5,5,false positive
/search?q=' OR EXISTS(SELECT * FROM users)--,9,15,real threat
